step,0.0625,0.1250,0.2500,0.5000,1.0000,2.0000,4.0000
0,0.1,0.05,0.05,0.1,0.05,0.0,0.1
1,0.15,0.15,0.25,0.05,0.0,0.1,0.05
2,0.15,0.05,0.1,0.05,0.15,0.1,0.0
3,0.15,0.2,0.15,0.0,0.1,0.1,0.15
4,0.05,0.1,0.1,0.1,0.1,0.1,0.1
5,0.05,0.0,0.1,0.15,0.1,0.1,0.05
6,0.15,0.15,0.15,0.05,0.1,0.05,0.05
7,0.1,0.05,0.0,0.1,0.1,0.15,0.1
8,0.05,0.1,0.15,0.05,0.3,0.05,0.15
9,0.0,0.1,0.05,0.15,0.0,0.0,0.05
10,0.1,0.15,0.15,0.05,0.05,0.0,0.1
11,0.1,0.15,0.15,0.1,0.1,0.1,0.1
12,0.05,0.35,0.1,0.1,0.05,0.05,0.15
13,0.0,0.2,0.15,0.15,0.1,0.15,0.05
14,0.1,0.15,0.3,0.15,0.05,0.2,0.2
15,0.2,0.15,0.1,0.25,0.2,0.05,0.2
16,0.1,0.15,0.3,0.2,0.3,0.05,0.15
17,0.1,0.0,0.1,0.25,0.3,0.05,0.05
18,0.1,0.05,0.15,0.3,0.2,0.1,0.1
19,0.05,0.15,0.15,0.1,0.1,0.0,0.05
